sector,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,servant room,study room,others,pooja room,store room,furnishing_type,luxury_score,area_room_ratio
sector 2,flat,ansal plaza,1.0,10000.0,1000.0,Built Up area: 1000 (92.9 sq.m.),2,3,0,1.0,Na,Undefined,,1000.0,,0,0,0,0,0,1,0,500.0
sector 33,flat,central park flower valley aqua front towers,1.7,9450.0,1799.0,Super Built up area 1799(167.13 sq.m.)Carpet area: 1590 sq.ft. (147.72 sq.m.),3,3,3+,5.0,East,New Property,1799.0,,1590.0,0,0,0,0,0,0,44,599.6666666666666
sector 2,flat,bestech park view residency,1.55,8073.0,1920.0,Super Built up area 1920(178.37 sq.m.),3,4,3+,10.0,East,Moderately New Property,1920.0,,,1,0,0,0,0,1,100,640.0
sector 12,house,independent,0.9,13333.0,675.02,Built Up area: 675 (62.71 sq.m.),2,4,0,2.0,Na,Undefined,,675.0,,0,0,0,0,0,1,0,337.51
sector 111,flat,puri diplomatic greens,2.65,13590.0,1950.0,Super Built up area 2215(205.78 sq.m.)Carpet area: 1950 sq.ft. (181.16 sq.m.),3,4,2,7.0,West,Relatively new property,2215.0,,1950.0,1,0,0,0,0,0,159,650.0
sector 37c,flat,corona optus,1.26,7250.0,1738.0,Super Built up area 1735(161.19 sq.m.)Built Up area: 1400 sq.ft. (130.06 sq.m.)Carpet area: 965 sq.ft. (89.65 sq.m.),3,3,3,4.0,North-East,New Property,1735.0,1400.0,965.0,0,0,0,0,0,1,28,579.3333333333334
sector 61,flat,smart world orchard,1.41,12250.0,1151.0,Built Up area: 1150 (106.84 sq.m.),2,2,2,2.0,Na,Under Construction,,1150.0,,0,1,0,0,0,1,76,575.5
sector 92,flat,dlf new town heights,1.25,8639.0,1447.0,Carpet area: 1447 (134.43 sq.m.),3,4,3+,0.0,North-West,Old Property,,,1447.0,1,0,0,0,0,2,31,482.3333333333333
sohna road,flat,ashiana mulberry,1.05,5412.0,1940.0,Super Built up area 1940(180.23 sq.m.)Built Up area: 1175.97 sq.ft. (109.25 sq.m.)Carpet area: 834.96 sq.ft. (77.57 sq.m.),2,2,3,1.0,North,New Property,1940.0,1175.97,834.96,0,1,0,0,0,1,49,970.0
sector 82,house,vatika the seven lamps,1.6,6597.0,2425.34,Plot area 2425(225.29 sq.m.),4,4,3+,16.0,North,Moderately New Property,,2425.0,,1,0,0,0,0,1,94,606.335
sector 109,flat,ats tourmaline,1.4,8000.0,1750.0,Super Built up area 1750(162.58 sq.m.),3,3,3+,9.0,East,Relatively new property,1750.0,,,0,0,0,0,0,1,95,583.3333333333334
sector 82,house,vatika signature villas,4.7,21759.0,2160.03,Plot area 240(200.67 sq.m.),3,3,3+,3.0,Na,New Property,,2160.0,,1,0,0,0,0,1,33,720.0100000000001
sector 85,flat,ss the leaf,1.12,6452.0,1736.0,Super Built up area 1741(161.74 sq.m.)Built Up area: 1485 sq.ft. (137.96 sq.m.)Carpet area: 1335 sq.ft. (124.03 sq.m.),2,2,3,10.0,East,Relatively new property,1741.0,1485.0,1335.0,0,0,1,0,0,1,49,868.0
sohna road,flat,gls arawali homes,0.28,4308.0,650.0,Super Built up area 650(60.39 sq.m.),2,2,2,12.0,Na,New Property,650.0,,,0,0,0,0,0,1,0,325.0
sector 89,flat,greenopolis,0.65,5196.0,1251.0,Carpet area: 1251 (116.22 sq.m.),2,2,2,15.0,Na,Under Construction,,,1251.0,0,0,0,0,0,1,37,625.5
sector 3 phase 3 extension,house,independent,0.85,8500.0,1000.0,Built Up area: 1000 (92.9 sq.m.),1,1,0,1.0,Na,Undefined,,1000.0,,0,0,0,0,0,1,0,1000.0
sector 66,house,emaar mgf marbella,8.7,38667.0,2249.98,Plot area 250(209.03 sq.m.)Built Up area: 267 sq.yards (223.25 sq.m.),4,5,2,3.0,East,New Property,,267.0,,1,1,0,0,0,1,144,562.495
sector 102,flat,emaar gurgaon greens,1.52,9212.0,1650.0,Super Built up area 1650(153.29 sq.m.)Carpet area: 1022.58 sq.ft. (95 sq.m.),3,3,3,7.0,North-West,Relatively new property,1650.0,,1022.58,1,0,0,0,0,0,137,550.0
sector 37d,flat,bptp terra,1.45,8007.0,1811.0,Super Built up area 1811(168.25 sq.m.)Built Up area: 1711 sq.ft. (158.96 sq.m.)Carpet area: 1611 sq.ft. (149.67 sq.m.),3,3,3,8.0,South-East,Relatively new property,1811.0,1711.0,1611.0,0,0,0,0,0,1,149,603.6666666666666
sector 104,flat,puri emerald bay,1.32,8516.0,1550.0,Super Built up area 1550(144 sq.m.),2,2,2,10.0,North-East,Relatively new property,1550.0,,,0,0,0,0,0,1,128,775.0
sector 60,flat,ireo skyon,2.82,12818.0,2200.0,Super Built up area 2403(223.25 sq.m.)Built Up area: 2400 sq.ft. (222.97 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),3,3,3,2.0,South-East,Relatively new property,2403.0,2400.0,2200.0,1,0,0,0,0,0,174,733.3333333333334
sector 102,flat,shapoorji pallonji joyville gurugram,1.26,10040.0,1255.0,Super Built up area 1215(112.88 sq.m.),2,2,2,10.0,North,Relatively new property,1215.0,,,0,0,0,0,0,1,108,627.5
sohna road,flat,gls arawali homes,0.27,4600.0,587.0,Super Built up area 576(53.51 sq.m.),2,2,2,5.0,Na,New Property,576.0,,,0,0,0,0,0,1,42,293.5
sector 102,flat,bptp amstoria,1.9,8444.0,2250.0,Super Built up area 2727(253.35 sq.m.)Built Up area: 2500 sq.ft. (232.26 sq.m.)Carpet area: 2250 sq.ft. (209.03 sq.m.),3,3,3+,1.0,North-East,Relatively new property,2727.0,2500.0,2250.0,1,0,0,0,0,1,174,750.0
sector 86,flat,pyramid urban homes 2,0.5,9690.0,516.0,Carpet area: 515.57 (47.9 sq.m.),2,2,2,6.0,Na,Old Property,,,515.5908099999999,0,0,0,0,0,1,15,258.0
sohna road,flat,hcbs sports ville,0.29,5588.0,519.0,Carpet area: 519 (48.22 sq.m.),2,2,1,4.0,Na,Relatively new property,,,519.0,0,0,0,0,0,1,44,259.5
sector 43,house,independent,15.5,28233.0,5490.03,Plot area 610(510.04 sq.m.),5,6,3,3.0,East,Moderately New Property,,5490.0,,1,1,0,1,1,1,76,1098.0059999999999
sector 26,house,dlf city plots,18.0,39841.0,4517.96,Plot area 502(419.74 sq.m.),6,6,2,3.0,North,Old Property,,4518.0,,1,0,1,1,0,0,49,752.9933333333333
sector 49,flat,vatika city,1.85,10577.0,1749.0,Super Built up area 1748.87(162.48 sq.m.)Built Up area: 1471.12 sq.ft. (136.67 sq.m.),3,3,1,7.0,South-West,Moderately New Property,1748.87,1471.12,,0,0,0,1,1,1,158,583.0
sector 81,flat,dlf the ultima,3.25,11805.0,2753.0,Super Built up area 2753(255.76 sq.m.),4,4,3+,11.0,North-West,Moderately New Property,2753.0,,,1,0,0,0,0,1,28,688.25
sector 88a,flat,godrej oasis,1.5,8108.0,1850.0,Carpet area: 1850 (171.87 sq.m.),3,3,2,3.0,Na,Relatively new property,,,1850.0,0,0,0,0,0,1,47,616.6666666666666
sector 84,flat,antriksh heights,0.85,5556.0,1530.0,Super Built up area 1350(125.42 sq.m.),2,2,3,10.0,North-West,New Property,1350.0,,,0,1,1,0,0,1,24,765.0
sector 82a,flat,dlf the primus,1.85,10283.0,1799.0,Super Built up area 1799(167.13 sq.m.)Carpet area: 1538 sq.ft. (142.88 sq.m.),3,3,3+,2.0,South,Relatively new property,1799.0,,1538.0,0,0,0,0,0,0,44,599.6666666666666
sector 6,house,independent,0.66,10784.0,612.02,Plot area 612(56.86 sq.m.),3,2,1,2.0,Na,Old Property,,612.0,,0,0,0,0,0,1,36,204.00666666666666
sector 37c,flat,ild grand,0.66,5038.0,1310.0,Built Up area: 1310 (121.7 sq.m.),2,2,3+,14.0,Na,Undefined,,1310.0,,0,0,0,0,0,1,60,655.0
sector 111,flat,kashish manor one,1.65,7097.0,2325.0,Super Built up area 2325(216 sq.m.),3,4,3+,14.0,Na,Under Construction,2325.0,,,1,0,1,0,0,1,8,775.0
sector 77,flat,umang winter hills,0.71,5306.0,1338.0,Super Built up area 1342(124.68 sq.m.)Carpet area: 810 sq.ft. (75.25 sq.m.),2,2,2,6.0,North-West,Relatively new property,1342.0,,810.0,0,1,0,0,0,1,108,669.0
sector 85,flat,ss the leaf,2.0,11869.0,1685.0,Super Built up area 2408(223.71 sq.m.)Carpet area: 1685 sq.ft. (156.54 sq.m.),3,4,3,5.0,West,Relatively new property,2408.0,,1685.0,1,0,0,0,0,1,156,561.6666666666666
sector 25,house,dlf city plots phase 2,7.5,31686.0,2366.98,Plot area 215(179.77 sq.m.),9,9,3+,4.0,West,Relatively new property,,2300.5,,1,1,0,1,0,0,160,262.9977777777778
sector 2,flat,bestech park view residency,0.95,6709.0,1416.0,Carpet area: 1416 (131.55 sq.m.),2,2,3,10.0,North-East,Old Property,,,1416.0,0,0,0,0,0,0,88,708.0
sector 90,flat,dlf regal gardens,1.25,7340.0,1703.0,Super Built up area 1703(158.21 sq.m.),3,3,3,28.0,North,Moderately New Property,1703.0,,,1,0,0,0,0,1,38,567.6666666666666
sector 84,flat,pivotal devaan apartments,0.39,6500.0,600.0,Super Built up area 600(55.74 sq.m.)Carpet area: 500 sq.ft. (46.45 sq.m.),2,2,0,5.0,North,Undefined,600.0,,500.0,0,0,0,0,0,1,0,300.0
sector 92,flat,sare green parc phase 3,0.79,6086.0,1298.0,Super Built up area 1298(120.59 sq.m.),3,2,2,15.0,North,New Property,1298.0,,,0,0,0,0,0,1,29,432.6666666666667
sector 83,flat,vatika gurgaon,1.33,5565.0,2390.0,Super Built up area 2390(222.04 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),4,4,3,3.0,East,Relatively new property,2390.0,,2000.0,1,0,0,0,0,1,26,597.5
sector 84,flat,alpha corp gurgaonone,2.28,8769.0,2600.0,Super Built up area 3434(319.03 sq.m.)Carpet area: 2600 sq.ft. (241.55 sq.m.),4,4,3+,8.0,South-East,Relatively new property,3434.0,,2600.0,1,0,0,0,0,1,61,650.0
sector 49,flat,orchid petals,2.45,11887.0,2061.0,Super Built up area 2061(191.47 sq.m.),3,3,3,0.0,North-East,Relatively new property,2061.0,,,0,1,0,0,0,1,49,687.0
sector 4,house,independent,1.1,6111.0,1800.03,Plot area 200(167.23 sq.m.),4,4,3+,2.0,West,Old Property,,1800.0,,0,0,0,0,0,1,7,450.0075
sector 79,flat,mapsko mount ville,1.2,8054.0,1490.0,Super Built up area 1490(138.43 sq.m.)Carpet area: 1163.91 sq.ft. (108.13 sq.m.),3,3,3,9.0,South,Relatively new property,1490.0,,1163.91,0,1,0,0,0,0,104,496.6666666666667
sector 70a,house,independent,2.1,3889.0,5400.0,Carpet area: 600 (55.74 sq.m.),3,2,1,3.0,Na,New Property,,,600.0,0,0,0,0,0,1,0,1800.0
sector 69,flat,tulip violet,1.2,10909.0,1100.0,Built Up area: 1100 (102.19 sq.m.),2,3,0,0.0,Na,Undefined,,1100.0,,0,0,0,0,0,1,54,550.0
sector 28,flat,dlf regency park,2.35,13225.0,1777.0,Super Built up area 1777(165.09 sq.m.),3,3,2,18.0,North-East,Old Property,1777.0,,,1,0,0,0,0,1,120,592.3333333333334
sector 69,flat,tulip violet,1.9,9453.0,2010.0,Super Built up area 2010(186.74 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),4,4,2,6.0,West,Relatively new property,2010.0,,1500.0,0,0,0,0,1,1,174,502.5
sector 49,house,uppal southend,4.4,15278.0,2879.96,Plot area 320(267.56 sq.m.),6,6,3,3.0,North,Moderately New Property,,2880.0,,1,1,0,1,1,2,110,479.99333333333334
sohna road,flat,signature global park,0.68,8252.0,824.0,Carpet area: 824 (76.55 sq.m.),2,2,2,3.0,Na,New Property,,,824.0,0,0,0,0,0,1,113,412.0
sector 109,flat,sbtl caladium,1.7,6680.0,2545.0,Super Built up area 2545(236.44 sq.m.),3,3,3+,9.0,North-East,Relatively new property,2545.0,,,1,0,0,0,0,1,159,848.3333333333334
sector 63,flat,dlf the arbour,7.8,19747.0,3950.0,Built Up area: 3950 (366.97 sq.m.),4,4,0,6.0,Na,Undefined,,3950.0,,0,0,0,0,0,1,61,987.5
sector 106,flat,paras dews,1.5,6369.0,2355.0,Super Built up area 2355(218.79 sq.m.)Built Up area: 1535 sq.ft. (142.61 sq.m.)Carpet area: 1403 sq.ft. (130.34 sq.m.),4,6,3+,11.0,North-West,Relatively new property,2355.0,1535.0,1403.0,1,0,0,0,0,1,174,588.75
sector 83,flat,emaar palm gardens,1.76,9263.0,1900.0,Super Built up area 1900(176.52 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1240.04 sq.ft. (115.2 sq.m.),3,3,3,5.0,South-East,Relatively new property,1900.0,1600.0,1240.04,1,0,0,0,0,0,174,633.3333333333334
sector 93,flat,signature global orchard avenue,0.4,7353.0,544.0,Carpet area: 543.53 (50.5 sq.m.),2,2,2,11.0,Na,New Property,,,543.57695,0,0,0,0,0,1,37,272.0
sector 81,flat,signature global synera,0.48,8027.0,598.0,Super Built up area 598(55.56 sq.m.)Carpet area: 498 sq.ft. (46.27 sq.m.),2,2,1,14.0,Na,Relatively new property,598.0,,498.0,0,0,0,0,0,0,14,299.0
sector 54,house,suncity township,25.0,31111.0,8035.74,Plot area 1000(836.13 sq.m.),4,4,3+,2.0,North,Moderately New Property,,1000.0,,1,1,0,1,1,1,0,2008.935
sector 61,flat,smart world orchard,1.58,13739.0,1150.0,Carpet area: 1150 (106.84 sq.m.),2,2,2,3.0,South,New Property,,,1150.0,0,1,0,0,0,1,15,575.0
sector 104,flat,puri emerald bay,2.55,10408.0,2450.0,Super Built up area 2450(227.61 sq.m.)Carpet area: 2150 sq.ft. (199.74 sq.m.),4,4,3+,5.0,East,Relatively new property,2450.0,,2150.0,1,0,0,0,0,1,49,612.5
sector 33,flat,eldeco accolade,1.2,8043.0,1492.0,Built Up area: 1492 (138.61 sq.m.)Carpet area: 849 sq.ft. (78.87 sq.m.),2,2,2,0.0,Na,Undefined,,1492.0,849.0,0,0,0,0,0,1,56,746.0
gwal pahari,flat,bsf chs,0.95,5938.0,1600.0,Carpet area: 1600 (148.64 sq.m.),3,3,3,13.0,Na,Old Property,,,1600.0,0,0,0,0,0,1,37,533.3333333333334
sector 3,house,independent,0.8,8155.0,980.99,Plot area 109(91.14 sq.m.),2,4,1,2.0,Na,Moderately New Property,,981.0,,0,0,0,0,0,1,0,490.495
sector 89,flat,m3m soulitude,1.32,16923.0,780.0,Carpet area: 780 (72.46 sq.m.),3,3,3,1.0,Na,Under Construction,,,780.0,0,0,0,0,0,1,45,260.0
sector 11,flat,maruti kunj,0.8,5161.0,1550.0,Super Built up area 1550(144 sq.m.),3,2,0,0.0,Na,Old Property,1550.0,,,0,0,0,0,0,1,8,516.6666666666666
sector 83,flat,vatika gurgaon,0.85,8947.0,950.0,Super Built up area 1245(115.66 sq.m.)Built Up area: 1100 sq.ft. (102.19 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.),2,2,2,18.0,West,Moderately New Property,1245.0,1100.0,950.0,0,0,0,1,0,0,119,475.0
sector 65,flat,emaar mgf emerald floors premier,2.85,14430.0,1975.0,Super Built up area 1975(183.48 sq.m.),4,4,3+,0.0,West,Relatively new property,1975.0,,,1,1,0,0,0,0,151,493.75
sector 11,house,"nirmal enclave, maruti kunj road",0.24,5333.0,450.03,Plot area 450(41.81 sq.m.),2,2,0,2.0,North,Relatively new property,,450.0,,0,0,0,0,0,1,0,225.015
sector 65,flat,m3m heights,1.99,15794.0,1260.0,Super Built up area 1260(117.06 sq.m.),2,2,2,26.0,Na,Under Construction,1260.0,,,0,0,0,0,0,1,48,630.0
sector 54,flat,sunischit apartments,1.75,7955.0,2200.0,Super Built up area 2200(204.39 sq.m.)Built Up area: 2100 sq.ft. (195.1 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),3,3,3+,6.0,North-East,Moderately New Property,2200.0,2100.0,2000.0,1,0,0,0,0,0,126,733.3333333333334
sector 102,flat,emaar imperial gardens,1.91,9550.0,2000.0,Super Built up area 2000(185.81 sq.m.)Carpet area: 1228.17 sq.ft. (114.1 sq.m.),3,4,2,17.0,East,Relatively new property,2000.0,,1228.17,1,1,0,0,0,0,152,666.6666666666666
sector 65,flat,m3m heights,1.9,14996.0,1267.0,Super Built up area 1261(117.15 sq.m.),2,2,3,4.0,Na,Under Construction,1261.0,,,0,0,0,0,0,1,54,633.5
sector 113,flat,la vida by tata housing,1.65,10450.0,1579.0,Super Built up area 1579(146.69 sq.m.)Built Up area: 1420 sq.ft. (131.92 sq.m.)Carpet area: 1220 sq.ft. (113.34 sq.m.),3,2,2,3.0,North-East,Relatively new property,1579.0,1420.0,1220.0,0,0,0,0,0,1,49,526.3333333333334
sector 2,house,independent,19.5,27083.0,7200.09,Plot area 800(668.9 sq.m.),8,9,3+,2.0,North,New Property,,7200.0,,1,1,0,1,0,1,122,900.01125
sector 99,flat,lotus elise,0.95,6552.0,1450.0,Carpet area: 1450 (134.71 sq.m.),2,3,3,7.0,Na,Relatively new property,,,1450.0,1,0,0,0,0,1,0,725.0
sector 69,flat,tulip violet,1.32,8413.0,1569.0,Super Built up area 1568(145.67 sq.m.),3,3,1,12.0,South-East,Relatively new property,1568.0,,,0,0,0,1,0,1,86,523.0
sector 22,flat,ambience creacions,4.1,28101.0,1459.0,Super Built up area 2781(258.36 sq.m.)Carpet area: 1459 sq.ft. (135.55 sq.m.),3,3,3+,2.0,North-East,New Property,2781.0,,1459.0,0,0,0,0,0,2,119,486.3333333333333
sector 67,flat,ireo victory valley,3.15,12847.0,2452.0,Super Built up area 2452(227.8 sq.m.),3,4,3+,15.0,South,Relatively new property,2452.0,,,1,0,0,1,0,0,149,817.3333333333334
sector 31,house,independent,4.6,32258.0,1426.0,Built Up area: 1426 (132.48 sq.m.)Carpet area: 1069 sq.ft. (99.31 sq.m.),2,2,2,2.0,East,Undefined,,1426.0,1069.0,0,0,0,0,0,1,0,713.0
sector 82,house,independent,7.5,23148.0,3240.02,Plot area 360(301.01 sq.m.),5,5,3+,2.0,East,Relatively new property,,3240.0,,1,0,0,1,0,0,135,648.004
sector 89,flat,m3m soulitude,1.25,8784.0,1423.0,Built Up area: 1423 (132.2 sq.m.)Carpet area: 1190 sq.ft. (110.55 sq.m.),3,3,0,4.0,Na,Undefined,,1423.0,1190.0,0,0,0,0,0,1,61,474.3333333333333
sector 84,flat,spaze privy at,1.24,6465.0,1918.0,Super Built up area 1918(178.19 sq.m.)Built Up area: 1650 sq.ft. (153.29 sq.m.)Carpet area: 1550 sq.ft. (144 sq.m.),3,3,3,8.0,North-East,Relatively new property,1918.0,1650.0,1550.0,0,1,0,0,0,0,158,639.3333333333334
sector 70a,flat,bptp astaire gardens,1.25,8772.0,1425.0,Super Built up area 1425(132.39 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),3,3,2,1.0,South-East,Relatively new property,1425.0,1300.0,1200.0,0,0,1,0,0,1,49,475.0
sector 41,house,independent,4.25,26235.0,1619.97,Plot area 180(150.5 sq.m.),2,9,3+,4.0,North,Moderately New Property,,1620.0,,1,1,0,0,0,0,36,809.985
sector 79,flat,mapsko mount ville,1.65,9091.0,1815.0,Built Up area: 1815 (168.62 sq.m.),3,3,0,12.0,Na,Undefined,,1815.0,,0,0,0,0,0,1,0,605.0
sector 84,flat,ss the coralwood,1.1,5820.0,1890.0,Super Built up area 1890(175.59 sq.m.),3,3,3+,12.0,East,Moderately New Property,1890.0,,,0,0,0,0,0,0,104,630.0
sector 91,flat,tarc maceo,1.5,6466.0,2320.0,Super Built up area 2320(215.54 sq.m.)Carpet area: 1325 sq.ft. (123.1 sq.m.),3,4,3+,3.0,North-West,Relatively new property,2320.0,,1325.0,1,1,0,0,0,1,112,773.3333333333334
sector 37d,flat,bptp terra,1.75,7987.0,2191.0,Super Built up area 2191(203.55 sq.m.)Built Up area: 2100 sq.ft. (195.1 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),4,4,3,7.0,West,Relatively new property,2191.0,2100.0,1800.0,0,0,1,0,0,0,120,547.75
sector 56,flat,rail vihar cghs,1.35,10385.0,1300.0,Super Built up area 1300(120.77 sq.m.)Built Up area: 1275 sq.ft. (118.45 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),3,2,2,1.0,West,Old Property,1300.0,1275.0,1250.0,0,0,1,0,0,1,159,433.3333333333333
sector 70,flat,tulip ivory,2.35,9792.0,2400.0,Carpet area: 2400 (222.97 sq.m.),4,4,3+,10.0,East,Moderately New Property,,,2400.0,1,0,0,0,0,0,65,600.0
sector 104,flat,zara aavaas,0.2,6645.0,301.0,Carpet area: 301 (27.96 sq.m.),1,2,2,3.0,Na,New Property,,,301.0,0,0,0,0,0,1,67,301.0
sector 77,flat,emaar palm heights,2.1,10370.0,2025.0,Super Built up area 2025(188.13 sq.m.),3,3,3,17.0,Na,New Property,2025.0,,,1,1,0,0,0,1,8,675.0
sohna road,flat,signature global park,0.7,6071.0,1153.0,Carpet area: 1153 (107.12 sq.m.),3,3,3,2.0,North,Relatively new property,,,1153.0,0,0,0,1,0,1,152,384.3333333333333
sector 28,flat,dlf ridgewood estate,2.0,14599.0,1370.0,Super Built up area 1370(127.28 sq.m.),3,3,1,12.0,North-East,Old Property,1370.0,,,0,0,0,0,0,0,96,456.6666666666667
sector 2,house,ansals palam vihar,5.0,12500.0,4000.0,Built Up area: 4000 (371.61 sq.m.),6,4,0,3.0,Na,Undefined,,4000.0,,0,0,0,0,0,1,0,666.6666666666666
sector 84,flat,alpha corp gurgaonone,1.49,7590.0,1963.0,Super Built up area 1963(182.37 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),3,3,3,6.0,South-East,Relatively new property,1963.0,,1700.0,1,0,0,0,0,1,28,654.3333333333334
sector 37c,flat,imperia the esfera,1.1,5405.0,2035.0,Super Built up area 2035(189.06 sq.m.)Carpet area: 1760 sq.ft. (163.51 sq.m.),3,4,3,9.0,West,Relatively new property,2035.0,,1760.0,1,1,0,0,0,1,49,678.3333333333334
sector 85,flat,godrej air,1.83,10005.0,1829.0,Carpet area: 1829 (169.92 sq.m.),3,3,3+,18.0,Na,Under Construction,,,1829.0,0,0,0,0,0,1,110,609.6666666666666
sector 65,flat,m3m heights,1.9,13991.0,1358.0,Built Up area: 1358 (126.16 sq.m.),2,2,2,40.0,Na,Undefined,,1358.0,,0,0,0,0,0,1,48,679.0
sector 37d,flat,signature global the millennia,0.6,9231.0,650.0,Super Built up area 650(60.39 sq.m.)Carpet area: 596.12 sq.ft. (55.38 sq.m.),2,2,3,7.0,Na,New Property,650.0,,596.12,0,0,0,0,0,1,35,325.0
sector 3,house,independent,0.55,7333.0,750.03,Built Up area: 750 (69.68 sq.m.),1,1,0,1.0,Na,Undefined,,750.0,,0,0,0,0,0,1,0,750.03
sohna road,flat,breez global heights,0.46,4842.0,950.0,Super Built up area 950(88.26 sq.m.)Built Up area: 800 sq.ft. (74.32 sq.m.)Carpet area: 700 sq.ft. (65.03 sq.m.),2,2,2,4.0,North-East,Relatively new property,950.0,800.0,700.0,0,0,0,0,0,2,93,475.0
sector 27,house,independent,4.25,31481.0,1350.02,Plot area 163(136.29 sq.m.)Built Up area: 161 sq.yards (134.62 sq.m.)Carpet area: 150 sq.yards (125.42 sq.m.),5,5,3+,3.0,East,Relatively new property,,161.0,150.0,1,0,0,1,0,0,49,270.004
sector 102,flat,conscient heritage max,2.1,9772.0,2149.0,Super Built up area 2149(199.65 sq.m.),3,4,3+,10.0,East,Relatively new property,2149.0,,,1,1,0,0,0,1,53,716.3333333333334
sector 12,flat,511 sarahah tower,0.6,8333.0,720.0,Carpet area: 720 (66.89 sq.m.),2,2,1,0.0,Na,New Property,,,720.0,0,0,0,1,0,2,0,360.0
sector 83,flat,emaar palm gardens,1.55,9012.0,1720.0,Super Built up area 1720(159.79 sq.m.)Built Up area: 1400 sq.ft. (130.06 sq.m.)Carpet area: 1095 sq.ft. (101.73 sq.m.),3,3,3,4.0,West,Relatively new property,1720.0,1400.0,1095.0,1,0,0,0,0,0,174,573.3333333333334
sector 22,house,saksham welfare association,4.7,19847.0,2368.12,Plot area 220Built Up area: 170 sq.m.Carpet area: 160 sq.m.,6,6,3+,2.0,West,Old Property,,170.0,160.0,0,0,0,1,1,0,106,394.68666666666667
sector 43,flat,dlf royalton tower,6.2,20687.0,2997.0,Super Built up area 2997(278.43 sq.m.),4,4,3+,9.0,Na,Moderately New Property,2997.0,,,1,0,0,0,0,1,7,749.25
sector 109,house,international city by sobha phase 1,6.3,9000.0,7000.0,Built Up area: 7000 (650.32 sq.m.)Carpet area: 4500 sq.ft. (418.06 sq.m.),4,5,3+,2.0,West,Relatively new property,,7000.0,4500.0,0,0,0,0,0,0,122,1750.0
sector 5,house,sheetla enclave,0.96,10000.0,960.0,Plot area 945(87.79 sq.m.),2,4,2,3.0,Na,Moderately New Property,,945.0,,0,0,0,1,1,0,0,480.0
sector 89,flat,smart world gems,1.25,8784.0,1423.0,Super Built up area 1423(132.2 sq.m.),3,3,3,2.0,North,Under Construction,1423.0,,,0,0,0,1,0,1,12,474.3333333333333
sector 58,flat,ireo the grand arch,3.83,21577.0,1775.0,Super Built up area 2164(201.04 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1775 sq.ft. (164.9 sq.m.),3,4,2,10.0,North-East,Relatively new property,2164.0,2000.0,1775.0,1,1,0,0,0,0,174,591.6666666666666
sector 102,flat,shapoorji pallonji joyville gurugram,2.4,10545.0,2276.0,Super Built up area 2162(200.86 sq.m.),4,4,3+,15.0,North-East,Relatively new property,2162.0,,,0,0,0,0,0,1,108,569.0
sector 5,house,house number b-34,0.8,8888.0,900.09,Plot area 900(83.61 sq.m.)Built Up area: 900 sq.ft. (83.61 sq.m.),2,2,1,1.0,Na,Old Property,,900.0,,0,0,0,0,0,1,0,450.045
sector 56,flat,park royal apartment,1.85,9024.0,2050.0,Carpet area: 2050 (190.45 sq.m.),3,4,3,7.0,Na,Old Property,,,2050.0,1,0,0,0,0,1,72,683.3333333333334
sector 37d,flat,signature global city 37d ph 2,1.35,9375.0,1440.0,Carpet area: 1440 (133.78 sq.m.),3,3,3+,3.0,Na,Under Construction,,,1440.0,0,0,0,1,0,1,51,480.0
sohna road,flat,gls arawali homes,0.35,6076.0,576.0,Super Built up area 576(53.51 sq.m.)Carpet area: 480.53 sq.ft. (44.64 sq.m.),2,2,2,11.0,Na,Relatively new property,576.0,,480.53,0,0,0,0,0,1,64,288.0
